,강남11개구,강북14개구,수도권,전국,KOSPI,S&P 500
1990-03-01,15.4347242213,27.3188348582,,29.1402287436,840.89,339.94000244140625
1990-04-01,16.5986544645,28.3889949925,,30.5263238129,688.66,330.79998779296875
1990-05-01,16.8516825838,28.5079021306,,31.0743145031,797.95,361.2300109863281
1990-06-01,17.0034994554,28.6268092686,,31.3966626797,706.79,358.0199890136719
1990-07-01,17.0878421618,29.0429832248,,31.5900707056,678.38,356.1499938964844
1990-08-01,17.2902646572,30.3212308507,,32.1058269082,606.87,322.55999755859375
1990-09-01,17.7963217903,32.4912799579,,33.2018093886,602.88,306.04998779296875
1990-10-01,18.2180353225,32.8777271295,,33.9754436924,690.16,304.0
1990-11-01,18.8253037033,32.907453914,,34.7813124838,697.03,322.2200012207031
1990-12-01,18.8084342674,32.907453914,,35.0069560975,696.11,330.2200012207031
1991-01-01,19.0277261987,33.6506204457,,35.3937732494,635.4,343.92999267578125
1991-02-01,19.3144914005,34.8099619606,,35.9739984272,675.57,367.07000732421875
1991-03-01,20.0735757584,35.8503963374,,36.8121028063,659.85,375.2200012207031
1991-04-01,20.731449763,36.8908307142,,37.972554262,645.61,375.3399963378906
1991-05-01,20.5627643502,36.2071167245,,37.9080852868,611.35,389.8299865722656
1991-06-01,20.1579184648,35.5828563038,,37.5212681349,605.27,371.1600036621094
1991-07-01,20.0735757584,35.5531295193,,37.2633900336,717.03,387.80999755859375
1991-08-01,19.9892330519,35.1072287787,,37.0055119324,683.11,395.42999267578125
1991-09-01,19.7024678501,34.661328038,,36.6831637557,705.08,387.8599853515625
1991-10-01,19.4157026482,34.0965211863,,36.2318765284,695.94,392.45001220703125
1991-11-01,18.4373263592,33.085813594,,35.2003641234,652.11,375.2200012207031
1991-12-01,17.8469274142,31.8372927527,,34.3622608443,610.92,417.0899963378906
1992-01-01,17.7963217903,31.8075659682,,34.1688517183,680.51,408.7799987792969
1992-02-01,17.779453249,31.7481123991,,34.104382743,612.5,412.70001220703125
1992-03-01,17.779453249,31.6589320456,,33.9754436924,606.32,403.69000244140625
1992-04-01,17.6782420013,31.331938443,,33.7498000788,615.97,414.95001220703125
1992-05-01,17.2396590334,30.6482244533,,33.2985128515,574.2,415.3500061035156
1992-06-01,16.80107696,30.2915040661,,32.7505221613,552.03,408.1400146484375
1992-07-01,16.7167342535,30.0834176016,,32.5248785477,509.95,424.2099914550781
1992-08-01,17.1047107031,30.5590440997,,32.7505221613,562.8,414.0299987792969
1992-09-01,17.3577397169,31.569751692,,33.1695738008,513.82,417.79998779296875
1992-10-01,17.2565275747,31.3616652275,,33.1051048256,615.58,418.67999267578125
1992-11-01,17.0709736205,31.3022116584,,32.9116956996,663.36,431.3500061035156
1992-12-01,16.8854196664,31.0346716249,,32.6538175983,678.44,435.7099914550781
